Training Log
Epoch	Total Loss	PDE Loss1	PDE Loss2	PDE Loss3	Interface Loss12	Interface Loss23	Boundary Loss	Analytical Loss
0	8996.232422	0.003789	0.009624	0.020855	0.286191	0.847001	3104.415283	1963.172119
100	8887.899414	0.003887	0.009698	0.020249	0.289207	0.846569	3057.169189	1942.808228
200	8777.904297	0.004106	0.010177	0.020117	0.292523	0.846008	3009.535156	1922.019043
300	8665.902344	0.004480	0.011160	0.020705	0.295977	0.845390	2961.401123	1900.727417
400	8551.978516	0.005083	0.012856	0.022295	0.299698	0.844763	2912.803223	1878.948975
500	8436.255859	0.006009	0.015524	0.025221	0.303666	0.844147	2863.788574	1856.708496
600	8318.865234	0.007369	0.019457	0.029871	0.307845	0.843553	2814.403564	1834.034180
700	8199.953125	0.009295	0.024991	0.036683	0.312210	0.842986	2764.700439	1810.957031
800	8079.667969	0.011932	0.032495	0.046139	0.316742	0.842451	2714.731934	1787.509033
900	7958.166016	0.015438	0.042370	0.058754	0.321425	0.841948	2664.553711	1763.722900
1000	7835.601074	0.019980	0.055037	0.075073	0.326248	0.841479	2614.220947	1739.631592
1100	7712.127930	0.025733	0.070938	0.095659	0.331201	0.841044	2563.788818	1715.267334
1200	7587.894531	0.032875	0.090525	0.121091	0.336273	0.840644	2513.311035	1690.661865
1300	7463.045898	0.041588	0.114263	0.151956	0.341458	0.840278	2462.839111	1665.845215
1400	7337.721680	0.052056	0.142619	0.188846	0.346748	0.839946	2412.423828	1640.846924
1500	7212.055176	0.064463	0.176066	0.232353	0.352138	0.839648	2362.113037	1615.695312
1600	7086.173828	0.078992	0.215075	0.283068	0.357621	0.839382	2311.952637	1590.416626
1700	6960.199707	0.095826	0.260119	0.341576	0.363190	0.839149	2261.987549	1565.036621
