Training Log
Epoch	Total Loss	PDE Loss1	PDE Loss2	PDE Loss3	Interface Loss12	Interface Loss23	Boundary Loss	Analytical Loss
0	2999.042969	0.006738	0.020224	0.076363	0.025057	0.350746	2998.187988
100	2956.858643	0.034513	0.021896	0.124795	0.005316	0.126437	2956.413818
200	2892.314453	0.062633	0.127412	0.255381	0.077230	0.013548	2891.687256
300	2754.865723	0.050340	0.140622	0.221449	0.267508	0.010018	2753.898193
400	2519.770508	0.033760	0.110620	0.094427	0.401566	0.034159	2518.660156
500	2279.851074	0.012998	0.054602	0.095559	0.327632	0.085622	2278.861328
600	2109.905273	0.004787	0.021857	0.089161	0.141716	0.105049	2109.295898
700	1995.465088	0.002145	0.009515	0.070189	0.031244	0.075525	1995.169800
800	1911.192871	0.001122	0.004825	0.056148	0.000832	0.027373	1911.074585
900	1844.129639	0.000654	0.002735	0.042848	0.020833	0.006356	1844.029053
1000	1788.493896	0.000419	0.001653	0.030213	0.069316	0.019616	1788.283691
1100	1741.080078	0.000296	0.001051	0.020078	0.131218	0.057171	1740.681885
1200	1699.793213	0.000231	0.000701	0.012963	0.200901	0.103550	1699.170410
1300	1663.255737	0.000199	0.000487	0.008305	0.278525	0.145190	1662.399414
1400	1630.571289	0.000186	0.000349	0.005357	0.367103	0.173730	1629.483643
1500	1601.100464	0.000186	0.000255	0.003519	0.470307	0.187017	1599.781860
1600	1574.307861	0.000199	0.000188	0.002371	0.590281	0.187738	1572.749146
1700	1549.665283	0.000228	0.000140	0.001646	0.725381	0.180401	1547.851807
1800	1526.593628	0.000274	0.000105	0.001176	0.867982	0.169044	1524.518066
1900	1504.477905	0.000333	0.000079	0.000862	1.004664	0.156426	1502.154297
2000	1482.820190	0.000393	0.000059	0.000645	1.122283	0.144059	1480.286499
2100	1461.429810	0.000437	0.000045	0.000490	1.216674	0.132501	1458.730591
2200	1440.377808	0.000462	0.000035	0.000378	1.292905	0.121781	1437.547607
2300	1419.779053	0.000472	0.000027	0.000295	1.357872	0.111781	1416.838867
2400	1399.681885	0.000473	0.000022	0.000233	1.415995	0.102392	1396.644287
2500	1380.080322	0.000468	0.000017	0.000185	1.469407	0.093531	1376.953857
2600	1360.946411	0.000459	0.000014	0.000149	1.519091	0.085132	1357.737305
2700	1342.246704	0.000447	0.000011	0.000120	1.565549	0.077133	1338.960693
2800	1323.948242	0.000432	0.000009	0.000097	1.609071	0.069475	1320.590576
2900	1306.018921	0.000414	0.000007	0.000079	1.649821	0.062106	1302.594604
3000	1288.425537	0.000393	0.000006	0.000065	1.687812	0.054976	1284.939453
3100	1271.128662	0.000369	0.000005	0.000053	1.722784	0.048035	1267.586548
3200	1254.067505	0.000340	0.000004	0.000042	1.753768	0.041253	1250.477051
3300	1237.119751	0.000304	0.000003	0.000033	1.777728	0.034664	1233.494629
3400	1219.948486	0.000251	0.000003	0.000025	1.784394	0.028658	1216.322021
3500	1201.462402	0.000170	0.000002	0.000020	1.738005	0.025410	1197.935303
3600	1179.817017	0.000079	0.000002	0.000026	1.578815	0.031733	1176.595825
